checkout_id,member_id,book_id,checkout_date,return_date,genre,pages,publisher,checkout_count,first_name,last_name,grade,neighborhood,membership_status,join_date,publication_year
9263,1047,517,2024-10-21,2024-11-07,Mystery,338,Delta House,16,Sara,Rashad,8.0,Heliopolis,Inactive,2024-06-25,2015.0
9340,1072,513,2025-08-24,2025-09-01,Science,294,Oasis Books,14,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,2021.0
9231,1053,523,2024-02-04,2024-02-16,Historical,276,Oasis Books,5,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,2018.0
9129,1032,513,2025-06-21,2025-06-29,Science,294,Oasis Books,6,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,2021.0
9370,1079,511,2025-11-11,2025-12-03,Historical,117,Nile Press,10,Rana,Osman,8.0,Shubra,Active,2024-10-27,2016.0
9082,1010,528,2025-11-11,2025-11-18,Nature,114,Delta House,18,Nour,Nabil,6.0,Maadi,Active,2024-05-15,2010.0
9238,1057,513,2024-03-28,2024-04-08,Science,294,Oasis Books,10,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,2021.0
9012,1010,501,2025-02-17,,Adventure,128,Nile Press,18,Nour,Nabil,6.0,Maadi,Active,2024-05-15,2017.0
9127,1024,506,2025-06-13,,Friendship,183,Nile Press,17,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,
9020,1016,506,2024-04-15,2024-05-04,Friendship,183,Nile Press,7,Dina,Rashad,8.0,Maadi,Active,2023-04-24,
9208,1044,525,2024-07-10,2024-08-01,Adventure,297,Oasis Books,21,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,2015.0
9319,1065,515,2025-02-10,2025-02-21,Poetry,316,Cairo Young Readers,18,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,2022.0
9097,1018,501,2025-10-05,2025-10-14,Adventure,128,Nile Press,17,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,2017.0
9137,1041,519,2025-07-27,2025-08-05,Friendship,157,Nile Press,4,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,2014.0
9157,1032,525,2024-03-04,2024-04-03,Adventure,297,Oasis Books,6,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,2015.0
9383,1070,501,2024-07-11,2024-07-31,Adventure,128,Nile Press,3,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,2017.0
9131,1034,505,2025-12-16,2025-12-25,Historical,216,Oasis Books,25,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,2024.0
9113,1027,507,2024-06-26,2024-07-08,Science,160,Nile Press,18,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,2024.0
9144,1024,501,2025-11-07,2025-11-25,Adventure,128,Nile Press,17,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,2017.0
9005,1008,513,2025-04-20,2025-04-29,Science,294,Oasis Books,19,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,2021.0
9272,1044,518,2025-01-24,2025-02-04,Adventure,163,Delta House,21,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,2011.0
9283,1072,513,2025-09-17,2025-09-25,Science,294,Oasis Books,14,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,2021.0
9030,1018,507,2025-03-09,,Science,160,Nile Press,17,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,2024.0
9291,1065,526,2024-03-25,2024-03-31,Science Fiction,125,Delta House,18,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,2016.0
9369,1076,501,2025-06-05,,Adventure,128,Nile Press,7,Dina,Wahba,7.0,Shubra,Active,2025-12-13,2017.0
9225,1059,516,2025-08-06,2025-08-22,Nature,241,Nile Press,7,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,2010.0
9256,1059,521,2025-07-09,,Science,211,Cairo Young Readers,7,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,2024.0
9234,1053,525,2024-02-13,2024-03-06,Adventure,297,Oasis Books,5,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,2015.0
9152,1030,525,2025-01-03,,Adventure,297,Oasis Books,16,Reem,Osman,8.0,Nasr City,Active,2025-04-01,2015.0
